[207418,216449,184869,1216823,869147,301368,196396]|[34570,31465,28108,131979,76632,28264,41858]|[5098,4597,4510,24339,15874,5368,7277]|[13810,12449,11117,62259,42973,14203,18083]|[14182,13445,11847,76268,54221,16226,12124]|[13677,12694,12074,81451,59768,18001,17515]|[6568,7334,6227,35990,29089,8209,8335]|[14151,12817,11429,68920,49748,15282,16038]|[14821,15040,13515,101321,85503,25073,15884]|[20089,19996,18776,123844,97679,32265,20221]|[2698,3035,2827,20424,16214,4661,4953]|[2044,1735,1700,11550,8943,2581,3398]|[4419,4246,3422,23589,16602,5126,4903]|[2857,2703,2568,17454,13166,3819,4425]|[5342,4437,3883,29999,25325,7175,5892]|[7158,7713,6979,45083,30673,10826,8929]|[17713,14602,11337,55289,39234,14093,20069]|[5228,5912,5602,47209,41182,16571,9986]|[1489,1650,1530,9168,6222,2032,3173]|[931,1218,1166,6124,3824,1142,1386]|[626,882,861,4405,2265,787,1096]|[559,633,592,2995,1818,581,1067]|[388,435,406,2022,1263,461,764]|[324,311,345,2270,1318,431,658]|[516,595,551,3238,1603,616,975]|[80,87,93,544,257,123,156]|[780,987,869,4483,2850,653,926]|[894,1045,1021,6862,5455,1517,1903]|[1092,1254,1118,6188,4407,1374,1731]|[1541,1837,1518,8773,6685,2159,2485]|[719,909,778,3206,1555,463,1009]|[4807,4337,3796,24200,18937,5477,6210]|[366,405,395,1744,565,202,541]
[16691,17205,14457,136941,105519,41570,36000]|[176322,238329,231712,1547746,881738,341085,231150]|[16713,24641,23501,168328,109536,43694,26697]|[31641,42027,43468,348149,237598,91366,60652]|[8298,9464,9200,101242,77686,31323,20654]|[16273,18329,19224,207013,157718,52618,36790]|[9475,14969,13372,123912,99678,40529,25377]|[13793,15237,14204,123049,86872,31919,23925]|[4568,5639,5104,55666,51178,20041,13833]|[9008,11476,12118,128551,103385,36560,25036]|[4968,6784,6375,63703,52332,22316,14470]|[3963,5795,5200,43973,34325,12806,8805]|[2826,3370,2805,26208,19095,8023,5709]|[1914,1744,1823,18212,15092,5670,4797]|[2415,2673,2524,28419,24357,10281,7104]|[2380,2804,2699,24412,19579,8424,5799]|[5012,5716,5330,37297,27696,13254,10464]|[1950,2059,1869,23351,23565,10920,7128]|[2490,3342,3047,22288,18522,7987,5173]|[1361,1846,1892,14149,11260,5034,2756]|[664,928,953,6467,4268,1918,1266]|[750,763,726,5394,3681,1646,1076]|[319,433,453,3492,2777,1297,712]|[397,525,548,4226,2853,1179,753]|[588,671,689,4923,2747,1220,1028]|[76,74,91,598,325,155,152]|[577,687,677,6419,4196,1663,1136]|[1826,2247,2024,18308,16699,6732,4884]|[918,1018,1000,6254,4681,2013,1586]|[1237,1439,1337,10258,8811,3460,2565]|[536,570,534,2689,1503,544,697]|[2682,2890,2539,23152,18410,7509,6127]|[237,293,311,1741,834,300,396]
[5142,3920,2972,22873,17330,6844,7874]|[30612,32584,29320,159261,100970,38621,23818]|[67866,96574,86166,578776,379705,128225,58866]|[8624,9662,8791,53242,35156,13407,9175]|[2291,2464,2188,19820,15095,5970,3926]|[2784,2141,2118,17568,12661,4834,3811]|[13017,16964,15885,117832,84559,30609,15227]|[6499,6876,5480,42618,30457,10735,7464]|[1394,1203,1118,9461,8318,2999,2069]|[1985,2105,1990,16571,12763,5130,3101]|[4496,5664,5467,47145,35024,12935,7042]|[3231,4014,3865,32020,24643,8503,5042]|[1878,1894,1441,10745,7716,3216,2195]|[511,412,410,2976,2229,752,570]|[601,533,482,4678,3816,1483,979]|[805,838,826,4856,3565,1452,1060]|[1235,1318,1239,7502,4960,2040,1800]|[966,806,681,8368,8484,3407,2225]|[1103,1413,1203,7660,5805,2106,1256]|[784,937,995,5934,4279,1612,917]|[355,443,486,2445,1477,540,411]|[380,379,321,1913,1281,486,385]|[152,161,170,1123,771,270,199]|[160,226,235,1354,723,324,196]|[243,321,319,1707,876,384,305]|[37,30,43,223,124,80,47]|[242,273,285,2471,1807,554,321]|[1093,1104,1062,9727,8643,3013,2040]|[305,291,298,1339,751,297,290]|[367,317,285,1642,1274,496,356]|[192,160,152,740,271,73,187]|[766,691,636,4174,2794,976,911]|[69,83,108,506,158,50,151]
[13208,11334,8579,63844,43783,18065,15713]|[64947,71789,62659,335017,189054,79984,50296]|[9347,9338,8685,55123,34697,13547,7558]|[105623,130596,128439,865187,550599,225756,116806]|[11706,13468,13261,111950,75394,30959,13648]|[8225,7397,6736,52872,36526,14107,8774]|[7012,8664,7594,56343,43443,16110,7294]|[17221,19159,16943,121691,80972,34994,18697]|[2566,3147,2662,22679,17913,7197,3605]|[5990,6709,6200,49164,36370,14681,7191]|[3049,3123,3180,25756,18093,7255,3263]|[2365,2470,2157,16585,11555,4738,2559]|[3244,2840,2448,20990,14394,7584,4441]|[1327,1330,1207,9023,6662,3139,2183]|[1634,1480,1355,11059,8252,3458,1843]|[1368,1705,1845,12086,8709,4622,2956]|[2747,3386,3475,21028,14567,8456,6379]|[1246,1270,1231,16386,15793,7894,3916]|[990,1234,1143,7353,4673,2046,1238]|[610,838,904,5298,3144,1408,628]|[359,498,516,3013,1752,609,432]|[345,402,332,2426,1220,629,298]|[227,243,223,1615,948,440,359]|[151,210,264,1622,843,360,226]|[322,369,432,2827,1415,757,671]|[42,43,62,308,143,76,57]|[326,378,395,2949,1786,658,334]|[909,943,976,6738,5011,2291,1149]|[406,475,483,2647,1657,788,629]|[448,544,509,3531,2389,938,657]|[279,291,298,1386,549,243,360]|[1279,1347,1384,10191,6718,2808,1950]|[118,113,129,683,244,90,191]
[17354,13419,11085,75503,48594,19752,16869]|[28205,23062,20334,89554,51339,23285,23257]|[5015,4536,4161,19825,11164,5206,3743]|[24019,20860,19020,100388,60836,25433,19895]|[76550,91451,82700,562370,401730,137665,55957]|[5188,4783,4213,26337,18821,7367,5671]|[4478,5368,4394,24486,18197,6834,4291]|[19253,19494,16789,98198,64537,27828,13780]|[2578,2281,1959,13408,12353,4314,2462]|[5451,5468,5186,33412,25806,10278,5158]|[1592,1654,1891,12173,7908,3048,1778]|[1024,1053,1128,6193,4465,1595,1105]|[2493,2691,2150,12832,8895,3947,2315]|[709,789,634,4330,3509,1073,1097]|[1264,977,927,6417,5506,1896,1584]|[1124,1168,1057,6246,4025,1498,1047]|[1824,1795,1637,8316,5489,2186,2428]|[1056,1199,919,9359,8698,3984,1791]|[609,658,618,3320,1944,624,605]|[432,572,581,2734,1608,509,318]|[286,408,390,1760,862,274,233]|[225,233,203,1275,604,251,146]|[124,128,146,817,401,138,152]|[104,140,163,802,327,123,121]|[226,279,291,1295,567,236,232]|[37,37,36,172,84,41,46]|[250,314,313,1728,1017,316,203]|[428,505,507,3236,2319,801,548]|[322,369,282,1595,952,352,260]|[388,387,328,1936,1339,431,363]|[221,234,225,942,321,118,254]|[1006,1090,920,5706,4062,1429,1128]|[94,101,116,490,158,52,153]
[18649,15375,11437,80286,50271,21053,24245]|[55115,47852,38242,178824,87096,39261,53648]|[4009,3458,2908,16845,8918,4353,4711]|[11065,9340,8046,48953,27311,12182,14492]|[4955,4023,3456,27604,17263,7441,6567]|[104148,118730,113315,786090,521835,192707,106858]|[3038,2897,2497,17309,11202,4671,4116]|[5988,5279,4287,27129,15440,6712,9100]|[4415,4242,3683,30315,24872,9316,5590]|[20558,22788,22376,155543,105108,43772,22552]|[1441,1380,1397,9617,5604,2287,2085]|[1128,1213,1032,6595,4547,1663,1726]|[1416,1031,933,6264,3522,1511,1913]|[1876,2078,1736,10997,7370,2678,2730]|[3598,2901,2301,18447,13994,5628,4069]|[1589,1482,1446,8297,5133,1921,1853]|[1721,1871,1695,8405,5136,2099,2504]|[896,756,733,5766,4918,2062,1953]|[497,622,586,3363,1867,619,832]|[357,425,521,2190,1033,443,360]|[220,315,309,1290,522,198,253]|[194,247,197,944,386,169,270]|[119,138,137,642,305,105,169]|[114,135,168,735,329,118,142]|[189,210,223,1136,433,234,401]|[32,18,25,174,74,33,59]|[231,289,233,1343,614,225,234]|[460,433,440,3104,2056,858,808]|[489,542,479,2150,1230,408,506]|[527,523,522,2710,1716,642,674]|[318,397,325,1088,315,130,356]|[2125,2212,1650,10681,6872,2752,2758]|[125,135,118,430,126,36,188]
[9590,7581,5814,32524,22672,8582,14641]|[30852,25989,25158,112372,67996,27136,33039]|[21353,20774,20175,115813,68378,27294,18745]|[13306,11540,10219,51742,32663,12542,14119]|[4767,4613,3917,23055,16651,6603,5617]|[2990,2321,2716,17311,11848,4218,4565]|[172700,217324,191572,1236180,872201,297495,121272]|[19840,18518,15383,86013,53477,19484,16519]|[1789,1770,1552,10938,9774,3298,2436]|[3267,2552,2437,17580,12674,4831,4260]|[15061,15696,14821,121432,83972,33894,15730]|[6934,6849,5846,37106,26567,8533,5185]|[5550,5452,4591,30610,20888,8639,5337]|[671,628,542,3305,2270,684,1068]|[1157,934,751,5141,4385,1443,1415]|[1557,1569,1521,7240,4936,1636,1797]|[2418,2639,2668,10728,6586,2549,3311]|[3328,3082,3096,35460,30859,13880,6383]|[1707,2033,1662,8737,5707,1772,1626]|[1285,1689,1690,7787,4712,1483,1072]|[794,1050,1088,4484,2391,800,711]|[718,676,620,3035,1649,563,438]|[391,365,421,1709,941,387,347]|[291,385,415,1992,903,326,273]|[515,645,631,2997,1264,482,551]|[68,106,106,428,214,91,77]|[656,838,684,4924,3263,1100,681]|[2100,2310,2051,13826,10919,3933,2434]|[650,524,549,2221,1375,487,515]|[510,549,512,2825,1968,609,578]|[403,370,332,1355,415,137,407]|[1307,1212,1143,5454,3422,1129,1383]|[143,163,192,911,251,88,294]
[16487,12746,10192,67825,43178,16880,19917]|[29759,23557,22126,113023,63251,25351,30518]|[8989,8141,7245,42873,25275,9568,7962]|[24529,21045,19751,115619,72537,28698,26031]|[16845,15889,14434,100089,71239,27822,14816]|[4849,3952,3891,29081,20037,6649,6342]|[14495,15250,13289,90294,64771,21067,12162]|[137845,155109,140707,936405,648079,236678,120464]|[2422,2341,2221,16154,14394,4421,3406]|[4687,4128,4045,30279,23446,8661,5832]|[3316,3492,3152,26231,19133,6062,4346]|[2600,2374,2064,15303,10915,3312,2668]|[8907,8286,7756,63579,43588,16873,10018]|[943,839,906,6014,3871,1216,1418]|[1116,1271,1100,7585,5613,1998,1895]|[1273,1585,1431,8758,5492,2018,1805]|[2421,2535,2487,12900,7713,3407,3758]|[3189,2789,2653,32263,29915,12970,6703]|[1039,1145,1128,6033,3462,1177,1104]|[555,862,929,4690,2858,867,678]|[441,617,653,3070,1699,542,535]|[430,443,438,2063,1248,354,326]|[238,231,257,1301,713,269,303]|[176,230,272,1504,710,231,179]|[335,415,449,2302,963,412,494]|[50,51,55,333,166,102,75]|[529,658,555,3381,2201,621,392]|[951,977,1006,6852,5264,1863,1528]|[439,492,527,2154,1226,443,495]|[427,521,501,2834,1979,686,762]|[312,349,344,1247,475,172,406]|[1505,1247,1243,7446,4863,1660,2041]|[102,110,142,563,184,73,226]
[30270,21202,15479,90513,59209,24273,28670]|[13780,12397,11183,50465,29531,12886,20488]|[2039,1711,1732,8986,5592,2144,3490]|[4343,4234,3939,20653,12622,5420,6823]|[3924,2762,2268,12951,9018,3831,4284]|[6872,5151,4550,27341,19116,7488,8271]|[2163,2561,2213,10860,7445,2921,2901]|[4055,3735,3084,14606,9490,3923,5449]|[122218,140435,118624,805623,615172,217350,98245]|[20120,16655,15254,88468,61414,25094,15142]|[1042,1047,1083,6816,4888,1770,1815]|[660,693,617,3832,2611,1006,1092]|[1329,1135,848,3830,2621,1186,1647]|[4796,3645,3135,18484,12157,4548,4737]|[13311,12581,11024,82037,54389,22707,12107]|[4526,4190,3637,23243,15082,6844,4686]|[3540,3529,2767,12215,8695,3237,4388]|[991,832,750,5327,4593,2236,1879]|[568,640,598,3234,1985,673,865]|[373,486,559,2547,1328,513,514]|[327,388,434,1816,880,341,374]|[256,308,245,1278,688,236,292]|[186,175,174,839,435,191,201]|[104,180,181,863,441,129,202]|[224,263,282,1460,671,226,422]|[61,46,55,264,147,42,87]|[457,430,360,1829,873,287,380]|[294,389,397,2419,1805,692,590]|[972,1071,1042,4684,3261,1095,1106]|[1051,1385,1244,6919,5161,1767,1478]|[693,932,810,3254,1262,447,732]|[5966,4813,3824,23704,15648,6694,6151]|[288,458,492,1889,557,180,434]
[29210,23619,18494,118748,78641,36431,37762]|[31767,26020,21886,111232,56826,28879,41461]|[3526,2870,2843,16150,8698,4275,5540]|[9496,7897,7141,44972,26854,12806,14720]|[6893,5967,4869,33474,22039,10304,9864]|[21920,20161,19473,147493,100791,45515,31225]|[2617,3072,2901,17538,11942,5055,5112]|[6408,5646,4948,29247,17424,8092,10577]|[12336,12596,12013,94767,72248,29866,16997]|[106115,123609,119440,815554,556594,212465,106291]|[1327,1486,1382,10224,6501,2590,2663]|[1039,942,880,6392,4119,1560,1869]|[1580,1501,1157,6486,3928,1925,2443]|[3304,2555,2367,16835,12264,4683,5433]|[5587,5216,4410,37179,27736,12213,8704]|[1948,2199,2171,13142,8970,4202,3688]|[2700,2808,2362,13002,8482,3805,4349]|[858,883,770,6913,5805,3106,2713]|[601,698,620,3741,2232,798,969]|[471,505,565,2552,1301,425,518]|[398,413,425,1738,841,362,533]|[304,273,264,1233,575,189,344]|[146,141,163,858,418,169,202]|[197,157,164,925,479,156,223]|[227,221,270,1395,625,265,429]|[46,33,33,186,120,33,68]|[470,457,357,1802,933,262,348]|[502,488,536,3374,1947,870,946]|[662,716,766,3348,1861,699,761]|[749,830,714,4082,2850,1112,1047]|[461,526,453,1642,634,197,503]|[3111,3171,2511,17110,12121,5097,5633]|[176,155,208,687,209,66,259]
