Id,Offset
100458,94398724
100459,94580328
100460,94794059
100461,95017711
100462,95260988
100463,95448547
100464,95658708
100465,95868417
100466,96084927
100467,96265534
100468,96466992
100469,96662823
100470,96925692
100471,97129424
100472,97382400
100473,97545473
100474,97663065
100475,97864817
100476,97964978
100477,98132439
100478,98328663
100479,98443511
100480,98573577
100481,98875459
100482,99120246
100483,99341475
100484,99679376
100485,99914956
100486,100199027
100487,100451971
100488,100593384
100489,100680086
100490,100867769
100491,101101090
100492,101337493
100493,101502942
100494,101728108
100495,101895345
100496,101964149
100497,102019832
100498,102183821
100499,102366438
100500,102532327
100501,102856839
100502,103133132
100503,103435781
100504,103667697
100505,103863887
100506,104082392
100507,104190729
100508,104271821
100509,104379818
100510,104570094
100511,104702050
100512,104847648
100513,104987986
100514,105125945
100515,105337180
100516,105394096
100517,105553706
100518,105734948
100519,106001370
100520,106173283
100521,106352262
100522,106528492
100523,106707702
100524,106816364
100525,106925944
100526,107056728
100527,107186340
100528,107390110
100529,107573679
100530,107698352
100531,107826662
100532,108010595
100533,108151350
100534,108341692
100535,108474913
100536,108606030
100537,108728187
100538,109014541
100539,109280210
100540,109523447
100541,109760225
100542,109962599
100543,110073336
100544,110237423
100545,110501736
100546,110820812
100547,111086547
100548,111294169
100549,111554995
100550,111771016
100551,111903664
100552,112038656
100553,112162893
100554,112283224
100555,112443751
100556,112683943
100557,112807763
100558,113021259
100559,113184992
100560,113343946
100561,113373272
100562,113500547
100563,113688284
100564,113878855
100565,113908471
100566,114091281
100567,114170320
100568,114236250
100569,114355283
100570,114468616
100571,114551426
100572,114681226
100573,114884304
100574,115005277
100575,115169631
100576,115340637
100577,115518789
100578,115686131
100579,115845817
100580,115938306
100581,116097890
100582,116293835
100583,116418241
100584,116557038
100585,116719087
100586,116892986
100587,117015869
100588,117245919
100589,117351449
100590,117474775
100591,117563084
100592,117674390
100593,117748082
100594,117879520
100595,118123527
100596,118309519
100597,118351638
100598,118597073
100599,118760674
